"period","conso_d","conso_nd","conso_s","gdp","defgdp","inves","definves","loans_nfc","loans_hh","houseprice","hours","wage","longrate","pop","shortrate","riskrate","networth"
2009-10-01,875252,2362265,7952219,16502754,88.781,2128516,93.902,10198.612,14033.815,101.9868,85.709,85.03,3.46,198714.949747949,0.12,6.33,42.25
2010-01-01,885957,2374836,7991950,16582710,89.036,2174335,93.737,10160.902,13932.767,101.043,85.959,84.231,3.71666666666667,198442.946071807,0.133333333333333,6.29,44.1
2010-04-01,913880,2387864,8046002,16743162,89.471,2288469,93.897,10088.061,13871.162,101.3682,86.687,85.173,3.49,199007.193515388,0.193333333333333,6.18,45.01
2010-07-01,928246,2396783,8101925,16872266,89.743,2390072,93.574,10126.906,13809.716,99.2148,87.032,85.679,2.78666666666667,199254.648716549,0.186666666666667,5.78,43.6
2010-10-01,954231,2414633,8121500,16960864,90.264,2383297,93.922,10067.334,13801.317,98.374,87.466,86.008,2.86333333333333,199956.112851905,0.186666666666667,5.91,48.49
2011-01-01,962579,2422669,8147710,16920632,90.726,2338901,94.316,10069.157,13768.138,96.67,87.63,87.57,3.46,199345.292891825,0.156666666666667,6.09,52.86
2011-04-01,955777,2417537,8174852,17035114,91.326,2434538,94.365,10132.387,13713.616,97.2152,88.561,86.818,3.21,199989.552330711,0.0933333333333333,5.85,53.82
2011-07-01,964263,2409293,8210425,17031313,91.876,2445296,94.992,10208.359,13699.089,97.6124,88.834,87.516,2.42666666666667,200166.180154772,0.0833333333333333,5.46,50.01
2011-10-01,987371,2408723,8202530,17222583,91.985,2633829,95.074,10304.816,13689.169,97.518,89.593,86.244,2.04666666666667,200354.625393922,0.0733333333333333,5.25,50.01
2012-01-01,1011514,2426333,8239750,17367010,92.525,2692179,95.378,10384.839,13627.365,98.337,90.339,88.273,2.03666666666667,201108.735396977,0.103333333333333,5.2,55.53
2012-04-01,1013418,2423566,8262135,17444525,92.907,2752614,95.795,10499.335,13594.621,100.9137,90.498,88.758,1.82333333333333,201493.548797702,0.153333333333333,5.09,55.62
2012-07-01,1026568,2424764,8269377,17469650,93.417,2759860,95.806,10674.388,13606.089,102.9176,90.983,88.721,1.64333333333333,201560.142914555,0.143333333333333,4.87,57.89
2012-10-01,1049847,2424826,8289761,17489852,93.885,2736423,96.414,10851.324,13578.581,105.1677,91.533,90.991,1.70666666666667,201739.303485436,0.16,4.57,58.98
2013-01-01,1076207,2461515,8296043,17662400,94.258,2845380,96.522,10915.363,13549.459,107.7974,91.964,89.632,1.95,201876.809297456,0.143333333333333,4.81,63.69
