"period","world_demand","foreign_rate","oil_prices","reer","exports","imports"
2016-07-01,112.804746675601,0.396666666666667,45.7886002886,97.2933333333333,100.79,102.13
2016-10-01,114.113117102312,0.45,49.4809141414,96.9866666666667,101.83,102.79
2017-01-01,114.253635782199,0.7,53.7487567288,95.47,103.236666666667,103.913333333333
2017-04-01,115.135106938909,0.95,49.7666762866667,97.5466666666667,104.87,105.956666666667
2017-07-01,115.961715165409,1.15333333333333,52.0708658008667,101.693333333333,105.776666666667,106.906666666667
2017-10-01,116.621085673151,1.20333333333333,61.3511164274,102.36,107.383333333333,108.386666666667
2018-01-01,117.39067052005,1.44666666666667,66.7250721501,103.393333333333,107.593333333333,108.453333333333
2018-04-01,117.745263952811,1.73666666666667,74.3142698412667,103.106666666667,107.49,108.876666666667
2018-07-01,118.124163062045,1.92333333333333,75.2256212121333,102.173333333333,106.79,109.063333333333
2018-10-01,117.640305797355,2.22,67.6984162597667,101.19,106.62,110.166666666667
2019-01-01,116.997910169073,2.40333333333333,63.1502431457333,99.5066666666667,108.053333333333,111.116666666667
2019-04-01,117.953990056962,2.39666666666667,68.7055079365,100.03,106.333333333333,108.856666666667
2019-07-01,118.449590118696,2.19,61.7744927536333,99.3766666666667,106.51,109.51
2019-10-01,117.194618338739,1.64333333333333,63.223463078,98.2166666666667,106.536666666667,108.48
2020-01-01,116.836363738435,1.26,50.1830909090667,97.3766666666667,102.883333333333,105.123333333333
2020-04-01,112.419270531991,0.06,29.2145295056,99.53,81.49,91.0466666666667
2020-07-01,115.680565884715,0.0933333333333333,42.8757997365,101.553333333333,98.5,101.593333333333
2020-10-01,117.698113507097,0.09,44.0903823954,101.536666666667,104.176666666667,106.713333333333
2021-01-01,119.904118817136,0.08,60.8401594203,101.423333333333,104.383333333333,106.683333333333
2021-04-01,119.705146445344,0.07,68.6974553429,101.673333333333,104.386666666667,108.65
2021-07-01,119.739791723245,0.09,73.3798268398333,100.08,103.246666666667,107.746666666667
2021-10-01,121.851009114176,0.08,79.6396969697,98.7166666666667,104.263333333333,115.956666666667
2022-01-01,122.012385683421,0.12,101.278815408085,98.28,106.98,120.36
2022-04-01,122.304104592165,0.77,113.747604427736,97.4933333333333,107.013333333333,123.176666666667
2022-07-01,124.499092811649,2.19,100.671911976912,95.5033333333333,106.86,124.313333333333
2022-10-01,124.056541782419,3.65333333333333,88.1879632034632,98.3966666666667,107.566666666667,120.78
2023-01-01,124.558345044868,4.51666666666667,81.2180755693582,99.9833333333333,106.433333333333,117.263333333333
2023-04-01,124.544046440396,4.99,78.3541632996633,101.42,105.066666666667,116.24
2023-07-01,124.811911622576,5.26,83.7569769119769,101.45,104.033333333333,112.586666666667
2023-10-01,124.927015587614,5.33,86.9101538461539,100.856666666667,103.963333333333,110.186666666667
