"period","gdp","defgdp","conso","defconso","inves","definves","wage","shortrate","employ","hours","pop","loans_nfc","loans_hh","lendingrate","longrate","networth","houseprice"
1999-04-01,2025549.1,81.503,1152985.3,80.713,449450.4,81.684,793042.5,2.6349,137840.93,57637011,215465.847062865,4557.961,3118.595,4.2151,4.23676794262258,318.405692307692,62.5259373894925
1999-07-01,2050197.5,81.645,1164395,81.013,457050.2,82.034,802594.8,2.6994,138631.11,57600300,215582.579535011,4647.358,3182.979,4.28043333333333,5.02525989131269,323.575454545454,63.7325232964776
1999-10-01,2073250,81.939,1172021,81.382,461164.2,82.267,813327.1,3.4306,139256.27,57950410,215703.308792634,4828.758,3255.865,5.01083333333333,5.29075848268441,355.249696969697,64.0461626739746
2000-01-01,2098526.1,82.251,1183796.1,81.97,468824.9,83.164,825919.4,3.5486,140230.51,58317000,215828.517331358,4891.079,3298.693,5.12333333333333,5.58541820003311,430.122676923077,65.0083988451792
2000-04-01,2117225.7,82.496,1191733.3,82.432,473212.8,83.764,835146.2,4.2848,141065.01,58535402,215958.647980128,5005.71,3358.429,5.49333333333333,5.39930297092858,430.985215384615,66.0132493174666
2000-07-01,2130102.8,82.898,1195808.3,83.081,478810.9,84.24,846304.6,4.7388,141801.82,58737595,216094.097815994,5165.498,3427.173,5.83,5.41103985457796,430.591953846154,67.0288310656586
2000-10-01,2143710.7,83.35,1197232.1,83.693,479442.4,84.786,855901.5,5.0282,142418.2,58944902,216235.212322203,5391.252,3493.128,5.88666666666667,5.24992075202225,404.049384615385,67.2727270358784
2001-01-01,2164466.9,84.018,1211057.4,83.996,483219.6,84.913,863233.7,4.7447,142718.35,59070883,216382.279845558,5449.896,3530.193,5.6,4.96332677080552,372.526153846154,68.2043769720372
2001-04-01,2167141.9,84.418,1212847.7,84.787,482171.7,85.185,870929,4.5885,142886.01,58899556,216535.526441286,5568.677,3586.732,5.51333333333333,5.17390718437205,361.135969230769,69.2078890312773
2001-07-01,2170369.8,85.016,1215616.6,85.16,478800.8,85.565,879110.2,4.2779,143193.65,58917048,216695.111229335,5681.239,3628.969,5.25333333333333,5.08175413967266,313.481846153846,70.4109662031379
2001-10-01,2170971.1,85.709,1218722.8,85.39,477164.7,85.725,887324.6,3.4522,143479.22,59002611,216861.122424988,5893.788,3672.757,4.69,4.77149917830583,298.613878787879,70.7544011624855
2002-01-01,2174140.4,86.31,1218072.8,85.894,476105.1,86.1,895385,3.3615,143914.87,58962088,217033.573955926,6023.924,3708.238,4.79666666666667,5.11090651784243,307.5606875,72.3174569266065
2002-04-01,2185666.1,86.504,1218151.5,86.28,470756.8,86.674,902309.1,3.4461,144097.75,59057092,217212.402622199,6091.765,3769.4,4.92,5.24489739804354,293.552430769231,73.8013941340765
2002-07-01,2194811.4,87.153,1225452,86.599,472885.8,86.718,909465.4,3.3589,144304.1,59064915,217397.465801998,6137.561,3816.274,4.65,4.74259836896366,228.525984848485,75.1255554955582
2002-10-01,2198504.8,87.518,1232757,87.039,475802.3,87.158,916143.4,3.1162,144348.78,59050813,217588.539754329,6227.649,3896.83,4.33,4.53168664482486,212.185,75.4323272782273
2003-01-01,2191511.7,88.083,1232176.2,87.887,475128.3,87.433,919922.5,2.6854,144429.62,59114456,217785.318194867,6258.76,3929.799,4.05,4.11801272854717,193.496171875,76.5807358808535
2003-04-01,2193488.7,88.585,1234346.7,88.066,476369,87.441,925152.9,2.3591,144661.14,59045586,217987.410871991,6355.747,3997.924,3.76333333333333,3.94135764269457,204.308446153846,77.996875498335
2003-07-01,2206491.9,89.191,1240861.3,88.462,479820.1,87.894,937303.4,2.1391,144854.9,59166492,218194.341921575,6392.465,4062.209,3.52666666666667,4.14896643954167,221.662166666667,79.3149435743094
2003-10-01,2221595.4,89.367,1244899.4,88.884,484640.1,88.161,939729.6,2.1493,145147.61,59284821,218405.547831601,6484.614,4138.121,3.48666666666667,4.34947300555707,232.963272727273,80.1294734231404
2004-01-01,2232756.1,89.855,1252183.6,89.321,484497.8,88.695,946982.7,2.0618,145342.83,59205612,218620.374714376,6533.322,4184.284,3.42333333333333,4.13308812025534,251.580353846154,81.2174672701329
2004-04-01,2246471.9,90.366,1254835.3,89.953,488211.9,89.502,955253.2,2.0834,145687.12,59432851,218838.074638899,6616.587,4298.32,3.41,4.31609950519958,249.787292307692,82.9904975820475
2004-07-01,2251969.2,90.691,1256112.8,90.399,489214.5,90.143,959658.6,2.1163,146028.32,59447164,219057.80083245,6664.698,4377.741,3.41,4.18469632257582,244.022439393939,84.6921154276925
2004-10-01,2260217.4,91.203,1267775,90.767,490812.7,90.815,966768.6,2.164,146413.8,59579172,219278.601619202,6819.665,4469.486,3.41,3.83063758360701,259.160606060606,85.7881333767059
2005-01-01,2264915.9,91.573,1272000.7,91.135,492515.8,91.053,973730.1,2.1404,146635.1,59640666,219499.413065813,6899.006,4529.933,3.37333333333333,3.64169282383059,276.157078125,87.2223302422307
2005-04-01,2278889.6,91.99,1279991.9,91.525,501040.7,91.628,982100.6,2.1244,147078,60126132,219719.050369518,7069.518,4654.703,3.32333333333333,3.38042511286613,280.136984615385,88.9938972530014
2005-07-01,2296699.1,92.341,1286594.6,92.243,507173.6,92.191,991479,2.1305,147467.66,60108700,219936.198094386,7121.285,4746.55,3.31666666666667,3.23776443524983,303.354287878788,90.790422487141
2005-10-01,2310838.7,92.999,1292699.7,92.632,510996.4,92.774,1004639.8,2.3437,148126.74,60533386,220149.461710504,7226.688,4852.375,3.42333333333333,3.40429554297893,315.192369230769,91.913929793304
2006-01-01,2330427.8,93.32,1299100.6,93.235,516928.5,93.5,1012510.2,2.6136,148748.87,60836444,220357.468189152,7488.626,4944.765,3.63333333333333,3.54173223537044,347.602507692308,93.3717981032692
2006-04-01,2356641.2,93.851,1306344.6,93.912,529279.1,94.284,1024542.4,2.8957,149602.04,61118479,220558.884025539,7664.795,5065.769,3.90333333333333,4.02522061154956,348.229015384615,95.0317983218376
2006-07-01,2371285.5,94.348,1310858.2,94.377,533499.1,95.008,1036493.2,3.2215,150256.19,61520288,220752.243984756,7679.052,5154.386,4.2,3.9539168059714,350.207338461538,96.6225397153875
2006-10-01,2398590.4,94.857,1321787.4,94.657,545715.3,95.613,1048397.1,3.5902,150941.64,61824306,220936.02909188,7815.792,5259.538,4.54666666666667,3.83382438206296,383.280384615385,97.4865495659773
2007-01-01,2412786.6,95.685,1320949.9,95.308,552701.9,96.286,1060460.4,3.8204,151647.63,62123135,221108.622031995,7967.025,5347.929,4.74333333333333,4.08188510880438,402.488630769231,98.3283438348807
2007-04-01,2430298.4,96.103,1332290,95.947,555426.2,96.846,1072254.1,4.0678,152446.21,62374206,221268.466722003,8217.741,5461.331,4.98,4.40944810065874,429.027184615385,99.5321110210241
2007-07-01,2441012.8,96.605,1337761,96.549,557807.5,97.238,1083222.9,4.4937,153091.75,62676661,221413.787065038,8325.382,5542.681,5.24,4.4634561687074,416.357984615385,100.928856936628
2007-10-01,2453814.3,97.363,1342424.9,97.557,567485.9,98.006,1100550.6,4.7184,153616.67,62843312,221542.890735031,8718.731,5639.318,5.4,4.33678294230365,417.831545454545,101.210688207467
