"period","pubcons_rpc","pubinves_rpc","salaries_rpc","subs_rpc","dirtax_rpc","indirtax_rpc","tfs_rpc","sce_rpc","scr_rpc","debt_rpc"
1997-04-01,1800.74701238392,288.079221169492,964.397838523531,135.256826129317,1067.2661549419,1038.04658505762,1488.27436014476,768.59891466984,746.47935067943,26498.9300315156
1997-07-01,1791.93103424006,285.350906587096,967.504832113858,135.716738683317,1048.59126279835,1050.89077070812,1484.06581978709,765.403519673691,745.544858948496,26486.7723583544
1997-10-01,1782.75467052446,285.349913408533,970.070867144148,137.166423669881,1078.92852214857,1072.95232762245,1481.95773212187,760.235774898344,742.531107574899,26444.4513578017
1998-01-01,1792.98590917335,291.604937120202,965.217279468161,140.612871785044,1091.49623305722,1094.66016249467,1477.27572980678,711.49873176384,741.254428520046,26543.3423942982
1998-04-01,1790.68546983124,293.149493618594,956.273635458056,141.728029186871,1089.48624783591,1115.70628856786,1476.56370216421,709.663426665499,740.39511892233,26570.7572958963
1998-07-01,1804.76320312519,297.430955419355,958.135460546903,143.358345470065,1128.53361565165,1137.85819258358,1485.30683021083,711.676802104454,742.790799985652,26718.267657779
1998-10-01,1819.56377190565,297.798285454786,965.459184986579,145.260100893745,1146.30359610693,1151.44297194936,1493.76030039688,714.910251644229,746.987125761538,26818.3792993995
1999-01-01,1840.84636020738,307.79211830561,979.042958145129,146.304880881686,1157.9074613873,1167.82895392351,1513.65857772807,721.427411115346,754.174122619969,26996.2704417739
1999-04-01,1857.98600894185,314.629911273016,989.454052900125,147.701837248689,1183.75067427666,1183.75601532536,1524.17671373985,725.348203372086,760.156963350292,27149.0867754454
1999-07-01,1876.80345434329,316.695108093426,995.89056855125,146.831157832727,1202.82307430353,1196.20940197804,1531.96631863603,730.965061537303,768.199336710536,27228.8612605091
1999-10-01,1889.49422100801,318.736451863826,996.124591285575,145.271899013945,1218.69866399255,1209.69552348193,1536.63253336072,733.38553932906,773.226422223294,27272.6592995993
2000-01-01,1911.99276295999,324.3838887949,1001.08176548109,144.670296487688,1247.55417486327,1212.00226121116,1530.10819266302,734.937047455924,778.95367831781,27320.9692222947
2000-04-01,1916.11891655402,322.401786777672,1009.8090691126,144.393882778664,1244.53532937996,1216.86190568479,1534.34041408886,737.587305093123,785.064627284926,27268.1886891467
2000-07-01,1931.29813904804,327.197833813173,1015.46533105954,145.189998413813,1241.29363213563,1217.3823010595,1539.07047082146,737.972065063304,789.410877112257,27285.1285963505
2000-10-01,1933.0427737385,332.082886360842,1016.36655650218,145.138852649426,1230.77928425213,1208.19806366313,1540.74980584017,738.401333174793,793.198782334941,27160.5571545282
2001-01-01,1940.73647452927,330.000834910598,1015.55889760326,144.375862345226,1222.67121949352,1210.96731035016,1548.64828955786,733.795260617452,793.159107484359,26962.1800089962
2001-04-01,1961.01332738208,334.236954969349,1022.05279399215,145.387749811268,1229.0212766879,1211.51454344518,1556.46108457646,736.1523812981,798.222787601103,27057.8746505484
2001-07-01,1966.31875558421,331.263562210528,1024.61490458882,145.653922554203,1210.18433386084,1201.86526512814,1558.51494972812,732.653037142584,796.887750102287,26991.1383404031
2001-10-01,1994.3214832853,335.0756281115,1030.35209642463,145.618269903439,1190.61065098144,1208.14700664571,1564.07148601014,731.456728485222,797.76251064391,27093.3800077322
2002-01-01,1993.1002020298,336.14936531056,1035.85376273916,145.177003270087,1184.57176472699,1211.27626610257,1575.46628008402,732.554282094472,798.952343538866,27143.1255970739
2002-04-01,2021.53374236244,331.876587116498,1041.69966396006,143.856943709152,1173.45925272311,1218.76481174426,1590.70362567833,734.119022126088,802.022805211735,27255.4323657631
2002-07-01,2024.50042501405,338.198848573751,1043.9468329139,142.591096502946,1173.30412969594,1238.10270791643,1599.9995892224,737.194368259295,806.019251892782,27299.6583502906
2002-10-01,2034.79971303482,337.196911021248,1047.485542368,141.932719454124,1170.5669587797,1227.82097323273,1611.10611684937,738.705539726207,808.129510928137,27423.6271494018
2003-01-01,2042.88175967591,334.91192177208,1046.70125499554,141.338188941821,1153.15665238524,1233.04726239876,1611.35607534829,740.702887534315,811.192893294463,27548.4097537878
2003-04-01,2040.31811372205,338.864989592345,1047.53221728061,140.228758712681,1139.98034960991,1230.23125682307,1621.35807674693,743.04853780757,813.870424714456,27691.4882027478
2003-07-01,2064.2096993235,338.306553498345,1069.26603295553,137.516660503931,1145.28482766145,1225.0587546712,1624.22993820433,741.473968168171,812.179507358982,27857.922862507
2003-10-01,2062.96593537043,340.250821236699,1058.63046416046,136.180063819444,1152.72809170465,1250.68410921519,1633.09437786184,744.333126155473,815.604345111746,28111.3299956221
2004-01-01,2073.02283295321,334.065939368382,1064.28626471155,133.360090884514,1147.03336820047,1249.37712871284,1638.47356990886,746.317676304518,816.43244738471,28312.1890983818
