"period","gdp","defgdp","conso","defconso","inves","definves","wage","shortrate","employ","hours","pop"
1992-07-01,1776943.61275978,70.1957252204088,1020435.64987589,69.0066828944834,388896.832101459,74.1082120840951,652219.676412997,11.9282741239569,132792.436259761,56554678.7364609,211929.091466
1992-10-01,1773390.46177349,70.824544585055,1028848.63510356,69.7238696816025,385603.880279045,74.515054635153,651813.672715457,11.4515345751731,132149.352853067,56213723.1142135,212116.687979937
1993-01-01,1761307.40014879,71.7090319140283,1011710.45413322,70.7623382744434,374723.268513865,75.1877322585345,651406.559855947,10.7060019204763,131515.915697472,55873574.8267523,212298.890096311
1993-04-01,1762613.88295946,72.3609349610369,1011536.33620418,71.3693509981066,368836.057336898,75.7844801175541,654592.839364398,9.09112114799197,130926.422574668,55537932.3388317,212475.558935022
1993-07-01,1769921.88417637,72.8475831459649,1014800.73598432,71.9765240386052,369343.221957866,76.1174314784977,654332.771132262,8.12000806480158,130590.947397509,55210494.115206,212646.592935463
1993-10-01,1774556.56892478,73.4357477749789,1020515.87196394,72.6447440665993,365769.530265934,76.3914578022508,656546.134093632,7.41204477332988,130428.03293448,55116249.9304163,212811.932821702
1994-01-01,1790999.89362533,73.8482348741386,1021287.96678816,73.3007273646381,369505.119566736,76.8460715459259,659221.705014559,6.8399226649811,130319.780561019,55034247.9292121,212971.56536257
1994-04-01,1802154.73045025,74.3433340953266,1024230.0547223,73.8363843696518,375496.490599751,77.1236762911747,664219.45776942,6.36992797893708,130287.626390684,54964827.5661295,213125.525995009
1994-07-01,1814290.96384287,74.8734932621251,1031674.39348194,74.3873387750575,379523.450892717,77.461711888035,670025.063603618,6.38326182817901,130526.63905684,54908328.2957048,213273.90035025
1994-10-01,1828686.05888531,75.4935764890096,1036376.02925141,74.9145044054476,388899.626089013,77.8617616920791,677826.29382115,6.50659343374043,130751.718249183,54915107.3888841,213416.824691972
1995-01-01,1838619.30140098,75.9678504533043,1040958.59797705,75.504073497576,383544.012954182,78.3274671368589,682005.091793683,6.9432544966683,130758.14908325,54934727.2567069,213554.485459598
1995-04-01,1849558.76360774,76.6590058073488,1052956.86104193,75.9729708638787,387175.558885608,78.8640217423579,690136.274268587,7.13658631077817,130987.48460667,54966768.1266225,213687.118078227
1995-07-01,1854956.79784063,77.2728060310343,1052055.36554167,76.6415188508251,386766.813499417,79.200290632776,696022.225298349,6.69325732324063,131142.086897445,55010810.2260806,213815.005165354
1995-10-01,1860221.85141571,77.8074233514031,1053207.51276961,77.0924687435823,390532.142040807,79.4482091982157,702921.695023581,6.50659343374043,131407.54362256,55056719.0825668,213938.474233899
1996-01-01,1862787.53621418,77.9944204725089,1061685.09675526,77.3981264108401,381790.731739482,79.6489061498726,705852.314700305,5.62993634559117,131452.57903385,55113937.084217,214057.895008005
1996-04-01,1875875.73527049,78.2279979170177,1064989.17487574,77.7173787320914,396386.142325148,79.6608897321458,710610.550163571,5.13660892335679,131765.095927092,55182191.9192034,214173.676439985
1996-07-01,1887975.9158681,78.5253127794349,1071705.98798566,78.0287041832163,398744.0632605,79.9653988091677,718292.878461054,4.99994346855343,132091.98502245,55261211.275698,214286.263490427
1996-10-01,1896033.80352497,78.8143963937709,1072986.31973938,78.3502899881159,399203.103584647,79.9364626149574,723231.97735845,4.58661514181591,132284.366877726,55335834.3879522,214396.133708963
1997-01-01,1900339.95323443,79.0958916616045,1076570.06910212,78.737985160393,395911.828060959,80.3987165309407,729409.116299679,4.43994980007545,132596.803135435,55420903.3918808,214503.793624568
1997-04-01,1924885.67246304,79.404676128206,1085845.11238608,78.9123966766107,403199.185844951,80.5760375890728,734322.261820841,4.32661808145114,132959.334068057,55516371.9694778,214609.774933941
1997-07-01,1939406.28687224,79.7222118107922,1088430.43659809,79.5546865056625,404790.903132736,80.9323932700327,740486.88136185,4.3232841191463,133406.118807387,55622193.8027371,214714.630458369
1997-10-01,1960613.23517753,80.0721789816193,1101418.57957721,79.8184035795305,413773.617777921,81.1478223298338,746222.941806536,4.43328287545448,133800.484956534,55865114.691287,214818.929823759
1998-01-01,1972927.38434289,80.3328794567245,1108529.6325176,79.8386876652301,422175.036571709,81.1424822554944,750196.569189943,4.20328547590102,134594.013696363,56116371.605073,214923.254869561
1998-04-01,1980991.62045341,80.8218599196423,1115606.62742499,80.1159542205229,423059.772053263,81.3243314168233,758539.557057873,4.05662113414925,135279.421019636,56373993.631675,215028.194781807
